#        ID    YR  MO  DY  HR MN     SC      lon      lat    depth    MAG
200806054027  2008   6   5   6  22  12.00 -97.5690  35.4570     5.00    2.5    
200806094012  2008   6   9   2   2  16.00 -96.9850  35.8100     5.00    2.5    
200806094120  2008   6   9  22  47  59.00 -96.7670  35.3460     5.00    3.1    
200806224015  2008   6  22   2   4  18.00 -97.0700  35.8200     5.00    2.9    
200810214071  2008  10  21  19  15   5.00 -97.1310  35.6770     5.00    2.7    
200810284025  2008  10  28   9  47   6.00 -96.9540  35.4540     5.00    2.8    
200810304065  2008  10  30  16   1  25.00 -97.1180  35.4430     5.00    3.1    
200812024008  2008  12   2   2  38  49.00 -97.5680  35.5730     5.00    2.7    
200901284024  2009   1  28  11   9  19.00 -97.8710  35.1630     5.00    3.4    
200902034014  2009   2   3  10  10  23.00 -96.3400  34.5890     5.00    3.1    
200902224013  2009   2  22   9   7  43.00 -98.0870  36.3690     5.00    3.2    
200902254007  2009   2  25   4  15  14.00 -96.0360  34.7350     5.00    3.3    
200903084018  2009   3   8  13  40   6.00 -97.4560  35.4460     5.00    3.4    
200903174037  2009   3  17  17  52  24.00 -97.4560  35.4460     5.00    2.7    
200903174038  2009   3  17  17  37  41.00 -97.4560  35.4460     5.00    2.5    
200906144053  2009   6  14  21   9  31.00 -96.8500  35.6590     5.00    3.4    
200906164020  2009   6  16  16  46  32.00 -96.8730  35.8900     5.00    2.8    
200906264036  2009   6  26  21  14  23.00 -97.4670  36.3610     5.00    3.7    
200907014032  2009   7   1  17  48  14.00 -97.1690  35.5470     5.00    3.4    
200907224002  2009   7  22   2  60  25.00 -96.9440  35.7420     5.00    3.3    
200908274013  2009   8  27   8  15  22.00 -96.6180  34.9420     5.00    3.4    
200908274019  2009   8  27  12  25  58.00 -97.2900  35.5660     5.00    2.5    
200908274026  2009   8  27  15  43  17.00 -97.3050  35.5720     5.00    2.8    
200908274028  2009   8  27  15  24  31.00 -97.2900  35.5660     5.00    2.5    
200908274031  2009   8  27  17  47  13.00 -97.2900  35.5660     5.00    2.6    
200908274033  2009   8  27  17  10  45.00 -97.2900  35.5660     5.00    2.7    
200908274035  2009   8  27  18  60  31.00 -97.3630  35.6510     5.00    2.7    
200908284003  2009   8  28   2   6   9.00 -97.2900  35.5650     5.00    3.5    
200910234016  2009  10  23   3  30  56.00 -97.0290  35.8040     5.00    3.0    
200911024025  2009  11   2  18   6  27.00 -96.5500  35.4320     5.00    2.7    
200911144022  2009  11  14  11   1  13.00 -97.2040  35.4940     5.00    3.1    
200911164013  2009  11  16  11  37  12.00 -97.2280  35.4820     5.00    3.0    
200911174008  2009  11  17   4  18   0.00 -97.5320  34.4620     5.00    3.1    
200911234005  2009  11  23   5  13  47.00 -97.2490  35.4950     5.00    2.6    
200911294004  2009  11  29   1  59  36.00 -97.2750  35.5630     5.00    3.0    
200912074027  2009  12   7  17  25  44.00 -97.2500  35.5560     5.00    3.5    
200912114027  2009  12  11  14  18   0.00 -97.3260  35.5880     5.00    2.8    
200912124017  2009  12  12  11   5  34.00 -97.3160  35.5560     5.00    3.1    
200912134007  2009  12  13   8  26  38.00 -97.2850  35.5870     5.00    3.6    
200912184002  2009  12  18   2  39  25.00 -97.2820  35.5550     5.00    2.8    
200912204006  2009  12  20   5  21   5.00 -97.2670  35.5540     5.00    3.1    
201001014027  2010   1   1  18  52  45.00 -97.1850  35.6350     5.00    2.8    
201001114006  2010   1  11   5   0  16.00 -97.2590  35.5390     5.00    2.8    
201001144014  2010   1  14  10  34   5.00 -97.2380  35.5390     5.00    3.3    
201001154044  2010   1  15  15  26  18.00 -97.2500  35.5760     8.00    3.8    
201001154045  2010   1  15  15   2  27.00 -97.2490  35.5550     8.00    3.7    
201001174027  2010   1  17  13  44  33.00 -97.2210  35.5530     5.00    3.0    
201001184024  2010   1  18  11  39  44.00 -97.2500  35.4970     5.00    2.5    
201001244009  2010   1  24   7  52  14.00 -97.2450  35.5020     6.00    3.6    
201002014030  2010   2   1  23   5  43.00 -97.2360  35.5470     5.00    2.5    
201002134020  2010   2  13   5  56  30.00 -97.2720  35.5300     8.10    3.2    
201002154008  2010   2  15   3  26  32.00 -97.2980  35.5570     3.30    3.0    
201002194030  2010   2  19  14  24  35.00 -96.8590  35.6300     8.00    2.5    
201002194031  2010   2  19  16  49  12.00 -97.0500  35.6680     5.00    3.0    
201002214014  2010   2  21   5  42   7.00 -97.0420  35.6120     5.00    2.6    
201002234004  2010   2  23   3  29  57.00 -97.0280  35.6710     5.00    2.5    
201002264020  2010   2  26   9   8   2.00 -97.0640  35.6160     5.70    3.1    
201002274347  2010   2  27  22  27  22.00 -96.7520  35.5530     5.00    4.1    
201003014062  2010   3   1   9  58   0.00 -96.7750  35.5470     5.00    2.6    
201003034015  2010   3   3   4  18  35.00 -97.2810  35.5490     5.00    2.5    
201003054059  2010   3   5  20  14  35.00 -96.7840  35.5820     5.00    3.1    
201003104019  2010   3  10   6  36   4.00 -96.7690  35.5990     5.00    3.1    
201003114025  2010   3  11   8   2  11.00 -98.0460  35.3780     5.00    3.0    
201003114026  2010   3  11   9  19  45.00 -98.0700  35.3980     2.30    2.8    
201003114027  2010   3  11  10  56   0.00 -98.1000  35.4000     5.00    2.7    
201003114028  2010   3  11  10  10   6.00 -98.0600  35.3840     2.50    2.7    
201003114030  2010   3  11  10  25  54.00 -98.0600  35.4010     5.00    3.0    
201003114041  2010   3  11  13  17  15.00 -98.0780  35.3880     3.20    2.9    
201003114098  2010   3  11  23  30  57.00 -98.1230  35.4750     6.40    3.4    
201003124039  2010   3  12   7  36  56.00 -97.2220  35.6580     4.50    2.7    
201003134026  2010   3  13   9  44   2.00 -98.1130  35.3870     5.00    3.1    
201003174069  2010   3  17  20  37   2.00 -96.7860  35.5750     5.00    2.5    
